ano,mes,mortos,ilesos,feridos_graves,feridos_leves,feridos
2019,02,394,4997,1259,4532,5791
2019,03,405,5859,1549,4960,6509
2019,04,392,5317,1358,4946,6304
2019,05,471,5297,1542,4704,6246
2019,06,458,5670,1628,4817,6445
2019,07,487,6245,1666,5073,6739
2019,08,454,5533,1563,5036,6599
2019,09,448,5747,1512,5136,6648
2019,10,431,5813,1666,5199,6865
2019,11,477,5869,1533,5108,6641
2019,12,501,6567,1783,5839,7622
2020,01,409,5836,1508,5520,7028
2020,02,386,5526,1465,4991,6456
2020,03,389,4305,1203,4069,5272
2020,04,354,3143,985,3284,4269
2020,05,386,4028,1160,3697,4857
2020,06,356,4413,1204,3645,4849
2020,07,453,4906,1245,4123,5368
