ano,uf,mortos,ilesos,feridos_graves,feridos_leves,feridos
2012,PA,196,6084,678,1478,2156
2012,PB,223,5324,813,1752,2565
2012,PE,452,10584,1274,2794,4068
2012,PI,235,3569,646,1020,1666
2012,PR,855,30385,3059,9240,12299
2012,RJ,576,28032,1469,5233,6702
2012,RN,207,5685,691,1316,2007
2012,RO,153,5370,643,1950,2593
2012,RR,28,347,59,170,229
2012,RS,457,22243,1434,5453,6887
2012,SC,551,26274,2357,8383,10740
2012,SE,105,2353,238,774,1012
2012,SP,361,20238,1102,4638,5740
2012,TO,114,1558,329,671,1000
2013,AC,23,611,94,258,352
2013,AL,148,3197,703,1008,1711
2013,AM,18,369,43,144,187
2013,AP,28,396,103,239,342
2013,BA,799,15010,1574,4745,6319
2013,CE,233,5628,1000,1455,2455
2013,DF,40,2162,231,975,1206
2013,ES,303,12513,1377,2651,4028
2013,GO,504,11746,1645,3551,5196
2013,MA,294,4123,635,1212,1847
2013,MG,1264,35863,3961,12095,16056
2013,MS,233,5369,768,1768,2536
2013,MT,297,6548,761,1837,2598
2013,PA,186,5773,541,1361,1902
2013,PB,180,5573,789,1892,2681
2013,PE,404,11410,1365,2882,4247
2013,PI,200,3924,680,1018,1698
2013,PR,750,29810,2783,8782,11565
2013,RJ,564,27016,1423,5842,7265
2013,RN,208,6019,674,1374,2048
2013,RO,130,5083,575,1773,2348
2013,RR,33,449,83,275,358
2013,RS,489,24807,1347,5381,6728
2013,SC,506,27939,2283,8336,10619
2013,SE,101,2229,205,657,862
2013,SP,381,20682,1001,4697,5698
2013,TO,110,1995,318,640,958
2014,AC,32,633,92,304,396
2014,AL,149,1758,440,752,1192
2014,AM,18,279,39,84,123
2014,AP,10,453,61,187,248
2014,BA,794,14844,1447,4977,6424
2014,CE,291,5314,965,1339,2304
2014,DF,46,1754,233,916,1149
2014,ES,279,11692,1542,2957,4499
2014,GO,468,9639,1436,3378,4814
2014,MA,317,3665,644,1125,1769
2014,MG,1163,27612,4130,11927,16057
2014,MS,226,4771,701,1671,2372
2014,MT,282,5969,800,2070,2870
2014,PA,195,5103,507,1160,1667
2014,PB,182,4746,650,1733,2383
2014,PE,425,11173,1300,2675,3975
2014,PI,228,3723,593,1007,1600
2014,PR,778,24002,2963,8443,11406
2014,RJ,537,24280,1440,5765,7205
2014,RN,150,5403,629,1322,1951
2014,RO,103,4208,538,1637,2175
2014,RR,30,481,76,226,302
2014,RS,507,22978,1257,5020,6277
2014,SC,536,26020,2376,8332,10708
2014,SE,64,2392,203,627,830
2014,SP,307,18366,829,4267,5096
2014,TO,117,2012,345,694,1039
2015,AC,20,637,103,325,428
2015,AL,118,1192,389,532,921
2015,AM,15,205,29,130,159
2015,AP,11,316,60,167,227
2015,BA,642,9115,1222,4329,5551
2015,CE,202,3370,791,1399,2190
2015,DF,47,1382,185,818,1003
2015,ES,172,6158,1193,2524,3717
2015,GO,442,7835,1399,3479,4878
2015,MA,300,2585,514,1069,1583
2015,MG,961,16567,3605,10975,14580
2015,MS,160,3716,610,1540,2150
2015,MT,239,4979,641,2073,2714
2015,PA,191,3344,387,1174,1561
2015,PB,170,3235,631,1444,2075
2015,PE,410,6945,1102,2264,3366
2015,PI,169,2741,490,996,1486
2015,PR,584,16422,2450,7565,10015
2015,RJ,401,13268,1166,5097,6263
2015,RN,185,3154,569,1278,1847
2015,RO,111,3031,477,1231,1708
2015,RR,31,443,64,228,292
2015,RS,396,14941,1154,4434,5588
2015,SC,462,18842,2155,7579,9734
2015,SE,67,1567,197,511,708
2015,SP,267,12280,666,4091,4757
2015,TO,93,1044,259,490,749
2016,AC,23,396,83,263,346
2016,AL,104,1014,342,540,882
2016,AM,22,228,48,133,181
2016,AP,16,226,39,177,216
2016,BA,610,6395,1225,3903,5128
2016,CE,224,2903,711,1479,2190
2016,DF,58,1279,223,925,1148
2016,ES,187,3042,1179,2374,3553
2016,GO,351,5973,1271,3283,4554
2016,MA,221,1721,514,893,1407
2016,MG,830,15072,3353,10810,14163
2016,MS,146,3336,543,1530,2073
2016,MT,220,4236,526,1860,2386
2016,PA,184,2253,360,1152,1512
2016,PB,156,1995,578,1212,1790
2016,PE,386,4031,1000,2139,3139
2016,PI,149,1596,525,938,1463
2016,PR,652,12805,2423,7369,9792
2016,RJ,370,6700,1064,4647,5711
2016,RN,144,1525,569,1159,1728
2016,RO,102,2184,360,1212,1572
2016,RR,24,324,78,253,331
2016,RS,348,10517,1179,4546,5725
2016,SC,450,12240,2087,7337,9424
2016,SE,57,861,200,463,663
2016,SP,255,8489,676,4112,4788
2016,TO,109,963,267,537,804
2017,AC,18,407,65,260,325
2017,AL,102,947,297,551,848
2017,AM,14,167,19,74,93
2017,AP,9,186,24,171,195
2017,BA,594,5401,1178,3548,4726
2017,CE,190,2316,526,1274,1800
2017,DF,46,1385,180,962,1142
2017,ES,201,2829,1007,2429,3436
2017,GO,344,4851,786,3462,4248
2017,MA,246,1829,537,946,1483
2017,MG,869,13343,2726,10448,13174
2017,MS,162,2116,393,1740,2133
2017,MT,191,4509,476,2104,2580
2017,PA,162,1823,373,1068,1441
2017,PB,139,2116,458,1312,1770
2017,PE,343,3911,854,2237,3091
2017,PI,209,1701,541,1037,1578
2017,PR,612,12567,2235,7281,9516
2017,RJ,341,6616,1029,4638,5667
2017,RN,139,1413,514,1053,1567
2017,RO,119,2328,372,1415,1787
2017,RR,37,283,59,296,355
2017,RS,391,8268,1091,4502,5593
2017,SC,381,12300,2012,7761,9773
2017,SE,51,931,175,460,635
2017,SP,255,7803,583,4048,4631
2017,TO,82,956,205,525,730
2018,AC,26,266,67,230,297
2018,AL,91,659,289,469,758
2018,AM,17,168,34,105,139
2018,AP,15,270,56,171,227
2018,BA,456,3761,1062,3245,4307
2018,CE,180,1775,539,1207,1746
2018,DF,44,1080,123,823,946
2018,ES,133,2392,1044,2245,3289
2018,GO,282,3633,857,3026,3883
2018,MA,231,1467,472,872,1344
2018,MG,693,8979,2369,8733,11102
2018,MS,109,1551,412,1452,1864
2018,MT,229,2712,568,1995,2563
