ano,uf,acidentes
2018,RJ,4572
2018,RN,1416
2018,RO,1629
2018,RR,236
2018,RS,4445
2018,SC,8493
2018,SE,559
2018,SP,4513
2018,TO,589
2019,AC,254
2019,AL,629
2019,AM,101
2019,AP,128
2019,BA,3468
2019,CE,1693
2019,DF,1082
2019,ES,2830
2019,GO,3347
2019,MA,1074
2019,MG,8702
2019,MS,1435
2019,MT,2136
2019,PA,816
2019,PB,1560
2019,PE,2732
2019,PI,1345
2019,PR,7691
2019,RJ,4589
2019,RN,1435
2019,RO,1528
2019,RR,237
2019,RS,4588
2019,SC,8411
2019,SE,612
2019,SP,4353
2019,TO,520
2020,AC,151
2020,AL,344
2020,AM,70
2020,AP,66
2020,BA,1817
2020,CE,791
2020,DF,579
2020,ES,1328
2020,GO,1766
2020,MA,571
2020,MG,4408
2020,MS,783
2020,MT,1160
2020,PA,524
2020,PB,758
2020,PE,1365
2020,PI,613
2020,PR,3930
2020,RJ,2184
2020,RN,692
2020,RO,854
2020,RR,135
2020,RS,2321
2020,SC,4068
2020,SE,313
2020,SP,2110
2020,TO,306
